DATE,LAT,LON,CP center Pressure ,MWS maximum wind speed,15R 강풍반경,25R 폭풍반경
2020082803,16.7,131.8,1000,54,-,-
2020082809,16.9,131,1000,54,-,-
2020082815,17.2,130.3,998,65,200,-
2020082821,17.1,129.8,996,72,230,-
2020082903,16.7,129.7,992,83,250,-
2020082909,16.4,129.8,985,97,280,80
2020082915,16.6,129.6,985,97,300,80
2020082921,17,129.2,980,104,310,80
2020083003,17.1,129,975,115,320,80
2020083009,17,129.1,975,115,330,90
2020083015,18.5,129,965,133,330,90
2020083021,19.2,129,960,140,340,100
2020083103,20.7,128.9,955,144,340,100
2020083109,22.4,128.5,950,155,380,120
2020083115,24.2,127.7,950,155,380,130
2020083121,25,127.2,945,162,380,130
2020090103,26.1,126.5,940,169,380,130
2020090109,26.9,126,935,176,380,140
2020090115,27.6,126.1,935,176,380,140
2020090121,28.4,126.3,935,176,380,140
2020090200,29,126.5,935,176,380,140
2020090203,29.4,126.6,940,169,370,130
2020090206,30,126.7,940,169,370,130
2020090209,30.5,126.8,945,162,360,120
2020090212,31.1,126.9,945,162,360,120
